"","electricity","postal_code","water_use","property_type","squarefootage","property_name","year_built","fuel_oil","natural_gas","greenhouse_emissions"
"1",23297409,"19131",2322,"Office",69698,"WPVI-TV",2009,NA,1242178.2,2650.4
"2",NA,"19124",68.1,"Distribution Center",93000,"ECI Building",1950,NA,663312.3,35.2
"3",4749439.2,"19104",1838.1,"Other",87830,"First District Plaza",1986,NA,432235.7,549.8
"4",39896618.4,"19107",11361,"Courthouse",600000,"Criminal Justice Center (CJC)",1994,0,11750313.2,5054.6
"5",3690920.8,"19107",1502.9,"Office",50456,"215 S. Broad",1930,NA,77111.6,478.6
"6",6735.5,"19104",7650.9,"Residence Hall/Dormitory",32818,"The Axis",1900,NA,2578595.9,228.3
"7",3001780,"19103",190.3,"Office",75495,"American Red Cross - Humanitarian Services",1972,NA,205.2,430.7
"8",2203606.1,"19103",509.9,"K-12 School",96000,"Greenfield",1968,NA,8967.6,374.2
"9",6019894,"19104",1073.6,"Office",90817,"3401 Market St.",1930,NA,268111.9,1889.3
"10",6306218.8,"19103",7358,"Multifamily Housing",279109,"The Rittenhouse Plaza",1924,NA,157185.4,1686.9
"11",3381732.8,"19102",1243.7,"Office",103560,"1518 Walnut Street",1929,NA,2552.6,656.8
"12",2800569.6,"19107",1180.4,"Office",51676,"1207 Chestnut",1925,NA,179122.5,358.2
"13",4302811.8,"19106",1454.4,"Medical Office",70902,"Hall Mercer at PAH",1980,NA,84.4,636.5
"14",4101585.7,"19102",859.6,"Office",77472,"1429 Walnut",1916,NA,347.3,585.3
"15",4560755.6,"19104",3150.4,"Residence Hall/Dormitory",89931,"19-Kelly Hall",1967,NA,316404.1,804.6
"16",5459138.6,"19102",1351.9,"Office",129532,"Bellet",1960,NA,183728.6,861.6
"17",29811053.4,"19103",44246.3,"Hotel",852595,"Sheraton Philadelphia Downtown",1980,NA,2030977,5364.7
"18",9824161.4,"19103",5647.4,"Multifamily Housing",274265,"Icon 1616",1929,NA,178953.6,1182.6
"19",13685201,"19104",19811.7,"Hotel",202880,"Sheraton University City Hotel",1976,NA,6166918.3,2559.4
"20",33537134.9,"19104",12742.3,"Medical Office",357847,"3737 Market Street",2014,NA,1167964.8,5040.1
"21",35489849.8,"19107",20898,"Hotel",650000,"Loews Philadelphia Hotel",1932,NA,5562894.9,5438.8
"22",17539027.7,"19102",7828.4,"Office",275468,"1500 Walnut",1930,NA,2626905.1,3286.2
"23",52208615.6,"19106",12023,"Office",535615,"140399 Plaza",1972,NA,210100,7426.2
"24",14044457.3,"19103",6443.6,"Multifamily Housing",480715,"10 Rittenhouse Square",2009,NA,1479761.3,1637.1
"25",14572522.3,"19107",9511,"Hotel",243058,"57164- Residence Inn Philadelphia - Center City",1990,NA,620800.1,2171.9
"26",36948445.6,"19103",261.5,"Office",665649,"2000 Market Street",1972,NA,9671,5876.9
"27",7051007.2,"19102",10288,"Multifamily Housing",177067,"The Drake",1929,NA,1871879.9,1936.2
"28",18051612.5,"19107",19714,"Hotel",440000,"311qp-Philadelphia - Downtown",1999,NA,910600,3602.4
"29",63011690,"19107",24989.4,"Office",1389838,"The Wanamaker Building",1902,NA,1152980.3,8346.9
"30",67065248.4,"19107",58203,"Hotel",1294004,"33703-Philadelphia",1995,NA,87739295.1,12308.5
"31",95606901.4,"19103",27638.2,"Office",1538959,"L61864 - 1701 JFK Blvd",2008,NA,2534817.5,11957.7
"32",104433097.1,"19104",67035.2,"Hospital (General Medical & Surgical)",873226,"Pennsylvania Hospital",1756,NA,1094964.3,19080.1
"33",20229017.8,"19102",22987,"Hotel",350000,"73R49-Philadelphia Ritz Carlton",1990,NA,2670999.8,3814.3
"34",104469810.2,"19104",81611.6,"Hospital (General Medical & Surgical)",1027882,"Penn Presbyterian Medical Center",1922,NA,88028995.6,16944.1
"35",12217734,"19107",2391.3,"Office",246310,"Goldman Properties - 1315 Walnut Street",1923,NA,147180.8,1542.3
"36",259361166.9,"19104",186787.5,"Hospital (General Medical & Surgical)",1791804,"Hospital of the University of Pennsylvania",1913,NA,2119816.1,47604.7
"37",11282330.7,"19107",13108.7,"Medical Office",102855,"Farm Journal",1910,NA,10878.4,2141
"38",20144130.7,"19103",20658.4,"Hotel",213500,"PLPH-Radisson Blu Warwick Hotel PA",1926,NA,2684409.4,3575.1
